 
27-02-2010 23:40:09 | POST protect | IP: 92.158.199.225 ] | DNS: ARennes-554-1-165-225.w92-158.abo.wanadoo.fr | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6 | URL: /parweb/pwbcms/admin:module/add/ | Referer: http://www.parweb.fr/parweb/pwbcms/admin:module/add/
2-03-2010 21:21:30 | GET protect | IP: 92.158.114.233 ] | DNS: ARennes-554-1-210-233.w92-158.abo.wanadoo.fr | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6 | URL: /?session=%7B%22session_key%22%3A%223.H9Qiv1F4mDx6A0wLlnvqxw__.3600.1267567200-545447247%22%2C%22uid%22%3A545447247%2C%22expires%22%3A1267567200%2C%22secret%22%3A%22FACGkVdY538LkD6KR_tSSQ__%22%2C%22base_domain%22%3A%22www.jetaisabsent.fr%22%2C%22sig%22%3A%223e5597d8762d869ead92518800d041d4%22%7D&next=http%3A%2F%2Fjetaisabsent.fr%2Fxd_receiver.htm%3Ffb_login%26fname%3D_opener%26guid%3D0.8864843313686032 | Referer: http://jetaisabsent.fr/excuse/add/

2-03-2010 21:23:40 | GET protect | IP: 92.158.114.233 ] | DNS: ARennes-554-1-210-233.w92-158.abo.wanadoo.fr | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6 | URL: /?session=%7B%22session_key%22%3A%223.H9Qiv1F4mDx6A0wLlnvqxw__.3600.1267567200-545447247%22%2C%22uid%22%3A545447247%2C%22expires%22%3A1267567200%2C%22secret%22%3A%22FACGkVdY538LkD6KR_tSSQ__%22%2C%22base_domain%22%3A%22www.jetaisabsent.fr%22%2C%22sig%22%3A%223e5597d8762d869ead92518800d041d4%22%7D&next=http%3A%2F%2Fjetaisabsent.fr%2Fxd_receiver.htm%3Ffb_login%26fname%3D_opener%26guid%3D0.00852897048282708 | Referer: http://jetaisabsent.fr/excuse/add/

2-03-2010 22:56:14 | IPs Spam list | IP: 217.128.69.73 ] | DNS: LNeuilly-152-23-22-73.w217-128.abo.wanadoo.fr | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.0.249.89 Safari/532.5 | URL: /excuse/list/typeexcuse_url:telephone/ | Referer: http://jetaisabsent.fr/excuse/list/typeexcuse_url:bidon/

2-03-2010 23:04:36 | IPs Spam list | IP: 213.96.237.62 ] | DNS: 62.Red-213-96-237.staticIP.rima-tde.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.0.249.89 Safari/532.5 | URL: /excuse/view/excuse_id:1/ | Referer: http://www.facebook.com/?sk=messages&tid=1370764946701

2-03-2010 23:04:36 | IPs Spam list | IP: 213.96.237.62 ] | DNS: 62.Red-213-96-237.staticIP.rima-tde.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.0.249.89 Safari/532.5 | URL: /favicon.ico | Referer: no referer

3-03-2010 07:50:23 | IPs reserved list | IP: 192.54.144.229 ] | DNS: gwinternet.thalesgroup.com | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.2) Gecko/20090729 Firefox/3.5.2 | URL: /excuse/view/excuse_id:9/ | Referer: http://www.facebook.com/home.php?

3-03-2010 07:50:23 | IPs reserved list | IP: 192.54.144.229 ] | DNS: gwinternet.thalesgroup.com | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.2) Gecko/20090729 Firefox/3.5.2 | URL: /excuse/view/excuse_id:9/ | Referer: http://www.facebook.com/home.php?

3-03-2010 07:50:23 | IPs reserved list | IP: 192.54.144.229 ] | DNS: gwinternet.thalesgroup.com | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.2) Gecko/20090729 Firefox/3.5.2 | URL: /favicon.ico | Referer: no referer

3-03-2010 07:50:26 | IPs reserved list | IP: 192.54.144.229 ] | DNS: gwinternet.thalesgroup.com | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.2) Gecko/20090729 Firefox/3.5.2 | URL: /favicon.ico | Referer: no referer

3-03-2010 10:35:12 | IPs reserved list | IP: 172.18.2.166 ] | DNS: 172.18.2.166 | Agent: Mozilla/5.0 (X11; U; Linux i686; fr; rv:1.9.1.3) Gecko/20090909 Fedora/3.5.3-1.fc11 Firefox/3.5.3 | URL: / | Referer: http://www.facebook.com/

3-03-2010 10:35:12 | IPs reserved list | IP: 172.18.2.166 ] | DNS: 172.18.2.166 | Agent: Mozilla/5.0 (X11; U; Linux i686; fr; rv:1.9.1.3) Gecko/20090909 Fedora/3.5.3-1.fc11 Firefox/3.5.3 | URL: /favicon.ico | Referer: no referer

3-03-2010 10:35:16 | IPs reserved list | IP: 172.18.2.166 ] | DNS: 172.18.2.166 | Agent: Mozilla/5.0 (X11; U; Linux i686; fr; rv:1.9.1.3) Gecko/20090909 Fedora/3.5.3-1.fc11 Firefox/3.5.3 | URL: /favicon.ico | Referer: no referer

3-03-2010 12:17:56 | Invalid request | IP: 82.245.203.66 ] | DNS: qrm29-1-82-245-203-66.fbx.proxad.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.0.249.89 Safari/532.5 | URL: /ajax:excuse/list/page:2/ | Referer: http://www.jetaisabsent.fr/

3-03-2010 12:18:08 | Invalid request | IP: 82.245.203.66 ] | DNS: qrm29-1-82-245-203-66.fbx.proxad.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.0.249.89 Safari/532.5 | URL: /ajax:excuse/list/page:2/ | Referer: http://www.jetaisabsent.fr/excuse/list/typeexcuse_url:bidon/

3-03-2010 12:18:13 | Invalid request | IP: 82.245.203.66 ] | DNS: qrm29-1-82-245-203-66.fbx.proxad.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.0.249.89 Safari/532.5 | URL: /ajax:excuse/list/page:2/ | Referer: http://www.jetaisabsent.fr/excuse/list/

3-03-2010 12:18:23 | Invalid request | IP: 82.245.203.66 ] | DNS: qrm29-1-82-245-203-66.fbx.proxad.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.0.249.89 Safari/532.5 | URL: /ajax:excuse/list/page:2/ | Referer: http://www.jetaisabsent.fr/

3-03-2010 15:16:32 | OVH Server list | IP: 94.23.29.119 ] | DNS: ns367951.ovh.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.2; fr; rv:1.9.1.8) Gecko/20100202 Firefox/3.5.8 (.NET CLR 3.5.30729) | URL: /excuse/view/excuse_id:8/ | Referer: http://www.facebook.com/home.php?

3-03-2010 15:16:32 | OVH Server list | IP: 94.23.29.119 ] | DNS: ns367951.ovh.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.2; fr; rv:1.9.1.8) Gecko/20100202 Firefox/3.5.8 (.NET CLR 3.5.30729) | URL: /favicon.ico | Referer: no referer

3-03-2010 15:16:35 | OVH Server list | IP: 94.23.29.119 ] | DNS: ns367951.ovh.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.2; fr; rv:1.9.1.8) Gecko/20100202 Firefox/3.5.8 (.NET CLR 3.5.30729) | URL: /favicon.ico | Referer: no referer

3-03-2010 15:16:40 | OVH Server list | IP: 94.23.29.119 ] | DNS: ns367951.ovh.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.2; fr; rv:1.9.1.8) Gecko/20100202 Firefox/3.5.8 (.NET CLR 3.5.30729) | URL: / | Referer: no referer

3-03-2010 15:17:00 | IPs reserved list | IP: 172.16.0.1 ] | DNS: 172.16.0.1 | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6 | URL: / | Referer: no referer

3-03-2010 15:17:00 | IPs reserved list | IP: 172.16.0.1 ] | DNS: 172.16.0.1 | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6 | URL: /favicon.ico | Referer: no referer

3-03-2010 15:17:02 | IPs reserved list | IP: 172.16.0.1 ] | DNS: 172.16.0.1 | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6 | URL: /favicon.ico | Referer: no referer

3-03-2010 15:17:20 | IPs reserved list | IP: 172.16.0.1 ] | DNS: 172.16.0.1 | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6 | URL: / | Referer: no referer

3-03-2010 15:17:21 | IPs reserved list | IP: 172.16.0.1 ] | DNS: 172.16.0.1 | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6 | URL: /favicon.ico | Referer: no referer

3-03-2010 15:17:24 | IPs reserved list | IP: 172.16.0.1 ] | DNS: 172.16.0.1 | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6 | URL: /favicon.ico | Referer: no referer

3-03-2010 15:17:47 | IPs reserved list | IP: 192.168.90.148 ] | DNS: 192.168.90.148 | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6 (.NET CLR 3.5.30729) | URL: / | Referer: no referer

3-03-2010 15:17:47 | IPs reserved list | IP: 192.168.90.148 ] | DNS: 192.168.90.148 | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6 (.NET CLR 3.5.30729) | URL: /favicon.ico | Referer: no referer

3-03-2010 15:17:50 | IPs reserved list | IP: 192.168.90.148 ] | DNS: 192.168.90.148 | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6 (.NET CLR 3.5.30729) | URL: /favicon.ico | Referer: no referer

3-03-2010 15:18:01 | OVH Server list | IP: 94.23.29.119 ] | DNS: ns367951.ovh.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6 (.NET CLR 3.5.30729) | URL: / | Referer: no referer

3-03-2010 15:18:21 | OVH Server list | IP: 94.23.29.119 ] | DNS: ns367951.ovh.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6 (.NET CLR 3.5.30729) | URL: / | Referer: no referer

3-03-2010 15:18:25 | OVH Server list | IP: 94.23.29.119 ] | DNS: ns367951.ovh.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6 (.NET CLR 3.5.30729) | URL: / | Referer: no referer

3-03-2010 15:18:26 | OVH Server list | IP: 94.23.29.119 ] | DNS: ns367951.ovh.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6 (.NET CLR 3.5.30729) | URL: / | Referer: no referer

3-03-2010 15:18:31 | IPs reserved list | IP: 192.168.90.148 ] | DNS: 192.168.90.148 | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6 (.NET CLR 3.5.30729) | URL: / | Referer: no referer

3-03-2010 15:18:54 | DEDIBOX Server list | IP: 88.191.98.41 ] | DNS: sd-16725.dedibox.fr | Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729) | URL: / | Referer: no referer

3-03-2010 15:18:54 | DEDIBOX Server list | IP: 88.191.98.41 ] | DNS: sd-16725.dedibox.fr | Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729) | URL: /favicon.ico | Referer: no referer

3-03-2010 18:43:38 | Invalid request | IP: 82.245.203.66 ] | DNS: qrm29-1-82-245-203-66.fbx.proxad.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.0.249.89 Safari/532.5 | URL: /ajax:excuse/list/page:2/ | Referer: http://www.jetaisabsent.fr/

3-03-2010 18:44:47 | Invalid request | IP: 82.245.203.66 ] | DNS: qrm29-1-82-245-203-66.fbx.proxad.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.0.249.89 Safari/532.5 | URL: /ajax:excuse/list/page:2/ | Referer: http://www.jetaisabsent.fr/excuse/list/typeexcuse_url:bidon/

3-03-2010 18:45:03 | Invalid request | IP: 82.245.203.66 ] | DNS: qrm29-1-82-245-203-66.fbx.proxad.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.0.249.89 Safari/532.5 | URL: /ajax:excuse/list/page:2/ | Referer: http://www.jetaisabsent.fr/excuse/list/

3-03-2010 18:45:16 | Invalid request | IP: 82.245.203.66 ] | DNS: qrm29-1-82-245-203-66.fbx.proxad.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.0.249.89 Safari/532.5 | URL: /ajax:excuse/list/page:2/ | Referer: http://www.jetaisabsent.fr/excuse/list/typeexcuse_url:bidon/

3-03-2010 18:46:11 | Invalid request | IP: 82.245.203.66 ] | DNS: qrm29-1-82-245-203-66.fbx.proxad.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.0.249.89 Safari/532.5 | URL: /ajax:excuse/counter/excuse_id:8/ | Referer: http://www.jetaisabsent.fr/excuse/list/

